"","K1","K2","K5","K10","K20"
"168",0.448083320923544,0.44507025623114,0.434222546823196,0.414970862436523,0.00912724902566751
"169",0.456901060573903,0.399465426413651,0.395640765785417,0.3895935531506,0.170044990432506
"170",0.405352129420689,0.401669245468596,0.39808304940003,0.391111063761063,0.268034361749382
"171",0.564179998,0.144660985,0.140853199,0.139529198,0.131385605
"172",0.600570379,0.173842803,0.164516426,0.161385003,0.157724501
"173",0.240763055,0.231203061,0.225791065,0.225449496,0.221461761
"174",0.337178598,0.306304346,0.30431884,0.303522069,0.297981384
"175",0.162290318658103,0.156546734539548,0.1437356844751,0.142328262627593,0.107133652120979
"176",0.468538796871564,0.391178433224976,0.386795721253728,0.385989599374312,0.184277335192491
"177",0.462325448,0.055316788,0.050136166,0.049383726,0.039552253
"178",0.4434621,0.435876007,0.432477158,0.43051479,0.409442065
"179",-0.360053091,-0.032234116,-0.023247192,-0.020765528,-0.014208513
"180",-0.194769547522359,-0.175004742482728,-0.158202041827595,-0.148082225487753,-0.139689127232699
"181",0.547462767,0.543797406,0.537641765,0.511602188,0.322702225
"182",0.443894516160137,0.311201807788317,0.306081042801071,0.298751018564313,0.280353779590838
"183",-0.132867234,-0.130419432,-0.105510064,-0.095806549,-0.089189605
"184",-0.278221325,-0.140633523,-0.103330424,-0.093047075,-0.086991242
"185",0.361086963366156,0.148567836666489,0.142258075798932,0.136802517734092,0.121572320702781
"186",0.466200774,0.462521545,0.458913753,0.442101871,0.439880072
"187",0.622757480625846,0.0703942297664547,0.0656883473445319,0.0652228837427062,0.0515834444509057
"188",0.462000769,0.372854138,0.368281409,0.36184304,0.148290918
"189",0.16896063,0.158964881,0.154265403,0.152293259,0.058897753
"190",0.562379435,0.559496945,0.556975431,0.551777801,0.50542148
"191",0.533309903,0.111220612,0.10767694,0.10649811,0.10218885
"192",0.481599633974544,0.212284242417925,0.206262894981842,0.199331548747154,0.180936194461891
"193",-0.246385918360993,-0.187071286937824,-0.162164913657259,-0.152555195968159,-0.144319958184366
"194",-0.261858723496662,-0.0922633849003848,-0.0789333316808144,-0.0731549497676917,-0.0676363693421468
"195",0.461830157712139,0.461559152207389,0.459411165857905,0.456553431561768,0.261963687241929
"196",0.121474575,0.118068817,0.110466046,0.107742109,0.08792335
"197",0.164763978,0.158648249,0.158501453,0.137413922,0.12926281
"198",0.273629153923685,0.267676282666788,0.261082236693116,0.236471022239315,0.140525616546138
"199",-0.277888866,-0.263731168,-0.257672747,-0.251690977,-0.139965214
"200",0.329188161399267,0.327060689615105,0.326264141019239,0.320352375843486,0.240058722206748
"201",-0.190308322891823,-0.0459407052876809,-0.0440276527212488,-0.0394903744743621,-0.0332398400840106
"202",-0.074267242,-0.061788294,-0.033569978,-0.025632003,-0.019229659
"203",0.385348190946109,0.381701149759574,0.378259659811903,0.357364199079215,0.212101083069905
"204",0.482753421462792,0.479452328275192,0.47639224502034,0.470440884477459,0.136281544932097
"205",0.671313814,0.669430276,0.667590799,0.660322865,0.658975593
"206",-0.306611541143584,-0.165566386530944,-0.139854058080746,-0.130228319996772,-0.12356860464229
"207",0.267620222036673,0.0497094104256103,0.045536345856976,0.0443565607024219,0.0322940439877986
"208",-0.289656124,-0.270100746,-0.253663226,-0.246017968,-0.239285704
"209",-0.286205072,-0.121855026,-0.109852163,-0.104338873,-0.098739028
"210",0.562878862,0.559397805,0.55341405,0.529314274,0.192634735
"211",0.259249038998066,0.136168000522436,0.13211957366156,0.130966664913464,0.122146553727425
"212",0.432981087,0.428297277,0.423023961,0.40430206,0.232422101
"213",0.467362013063123,0.114593671541193,0.109815252742108,0.108932211343495,0.0977426383100797
"214",-0.114835132,-0.107806036,-0.104017588,-0.098351863,-0.060192531
"215",0.0818801336300835,0.0637400267879075,0.0528645705680302,0.0475752437495119,0.0465501402281008
"216",-0.180920224,-0.053017702,-0.050074505,-0.044200367,-0.041952095
"217",0.540186879,0.151193921,0.146634337,0.140179611,0.138154954
"218",-0.278070450252476,-0.140456973060188,-0.103158683888771,-0.092943080012238,-0.0868148871388382
"219",0.414059323146345,0.40372410298758,0.400275765074632,0.399947588095461,0.390382742584605
"220",0.302274008607818,0.160097867233839,0.153869703138627,0.147934335028183,0.130282906252509
"221",0.207894341,0.110677181,0.101124199,0.096763939,0.091656335
"222",0.565555141,0.532973172,0.52995245,0.52963708,0.52575896
"223",0.503877401842719,0.0829784801514634,0.0779353171196522,0.0738697551100681,0.0731737580754629
"224",0.58116578406593,0.465728049504186,0.462345265729735,0.459956008821669,0.458212057201561
"225",0.421146613577726,0.41370241827401,0.41073431236861,0.409642658906811,0.409537919296838
"226",-0.292405649159662,-0.161871108186915,-0.130256273488033,-0.121444318730068,-0.115301632745526
"227",-0.316878838266018,-0.185983873445837,-0.178203287076852,-0.173075950016712,-0.167019351935148
"228",0.273557654,0.267623742,0.260922207,0.236335785,0.140462431
"229",0.531134594,0.527634611,0.522925287,0.500351154,0.428104714
"230",0.482691277,0.479310535,0.476157458,0.470251179,0.136274912
"231",0.446090168734713,0.443730033216762,0.442733383784389,0.433902422104473,0.132552924214317
"232",0.228167456758748,0.194124259215056,0.188589872772165,0.181078077802108,0.153728518068142
"233",0.625048392458604,0.622533658633802,0.6195786409229,0.602206555953582,0.558130014683001
"234",-0.320508486,-0.06409042,-0.037069321,-0.027988322,-0.020164627
"235",-0.080646196,-0.044198712,-0.026393236,-0.021097258,-0.015782569
"236",-0.07066815,-0.069377879,-0.048811361,-0.039629102,-0.033637135
"237",0.275124602983109,0.27196370007939,0.267103459046827,0.265241736591106,0.171728388414421
"238",0.385221465,0.381538895,0.378238412,0.357339839,0.211957663
"239",0.259187852,0.136027708,0.132031766,0.130830464,0.121900819
"240",0.518716525569512,0.305543529768458,0.301089470432875,0.297033327775348,0.279745011965378
"241",0.443532924035029,0.436050739241427,0.432652043524037,0.430637917705229,0.409486141623054
"242",0.504744058,0.484661922,0.481909643,0.47944088,0.476995234
"243",-0.360030407185645,-0.0321848419879678,-0.0230849666669982,-0.0205627754286085,-0.0140777372264314
"244",-0.114648112526032,-0.107786108759782,-0.103850903971468,-0.0982790562413208,-0.060178555844314
"245",0.132646287456626,0.0925330608184496,0.0883852016333994,0.0861265738143377,0.0828960104516347
"246",0.565300909295719,0.123235319956192,0.116325087592669,0.1128949721883,0.108239784448105
