"","K1","K2","K5","K10","K20"
"1",0.511748744,0.447412401,0.446546682,0.443482771,0.440500272
"2",-0.122493197449501,-0.11439933107307,-0.10585777151496,-0.0938693860692096,-0.0108105605419476
"3",0.316653231,0.312334931,0.303543705,0.29192298,0.058732374
"4",0.351369228,0.137823429,0.12775211,0.118018235,0.102822784
"5",0.129038952,0.122945049,0.116008655,0.108060434,0.090449377
"6",0.619682024,0.09130966,0.087084621,0.079764035,0.077334573
"7",-0.207797667395668,-0.166809709432591,-0.153686634390534,-0.150982107592748,-0.138950803411816
"8",0.173237231,0.166104206,0.161679637,0.156880408,0.14300294
"9",0.307733025134746,0.298725289725396,0.295090347615444,0.29142627134554,0.0465085221657511
"10",0.308042128,0.303941152,0.297772701,0.289955802,0.067684386
"11",0.290208692,0.280658457,0.268442537,0.225538673,0.034486921
"12",-0.154654198,-0.038520045,-0.033967749,-0.027516687,-0.020353758
"13",-0.192744839606757,-0.188719464115209,-0.18093461463357,-0.172796480728911,-0.165732866989122
"14",0.210746904,0.206055071,0.206017602,0.201414459,0.181451285
"15",0.24916145,0.034647828,0.028359181,0.018379246,0.013739334
"16",-0.383047373490496,-0.374102504382365,-0.357354707187618,-0.354089686472308,-0.129822184414611
"17",0.107350523,0.071281673,0.065411899,0.054773278,0.051731574
"18",-0.373914262,-0.356823899,-0.324368937,-0.306884742,-0.290342825
"19",-0.081300226,-0.050720989,-0.047559364,-0.043477326,-0.0356847
"20",0.290224770001119,0.280860610807411,0.268455527310882,0.225591887913382,0.0347275280438791
"21",0.289727448864318,0.279993479135926,0.270419258526528,0.233996380202033,0.088473449040559
"22",-0.314016289882791,-0.251313857967764,-0.240874869475591,-0.233402987642204,-0.225865457264752
"23",0.15992945,0.153827273,0.151378305,0.133240335,0.056329354
"24",-0.0845609747637522,-0.0546387410624431,-0.0487202937042117,-0.0408953750144925,-0.0404610444232919
"25",0.532842134663455,0.0310131556249435,0.0180612670756138,0.00880198042881551,0.00479235311387515
"26",0.201007161,0.141719181,0.135716824,0.130406302,0.117225709
